time,peak
433,0.406965842
585,0.404842894
737,0.405705419
889,0.40584868
1040,0.401146975
1192,0.401675847
1344,0.400819575
1496,0.398767063
1648,0.397194894
1800,0.395801074
1951,0.396784024
2103,0.39572356
2255,0.394914805
2407,0.392857761
2559,0.395041699
2711,0.393258141
2862,0.392229507
3014,0.392387076
3166,0.391709524
3318,0.390514272
3470,0.392545907
3622,0.393015797
3773,0.390087594
3925,0.393735917
4077,0.389992513
4229,0.393456752
4381,0.391122922
4533,0.390547703
4684,0.388694962
4836,0.390898071
4988,0.390047807
5140,0.390824303
5292,0.390691193
5444,0.390526582
5595,0.391253105
5747,0.390705521
5899,0.388389596
6051,0.393270292
6203,0.390903238
6355,0.389121722
6506,0.390343883
6658,0.392535433
6810,0.390143499
6962,0.38745072
7114,0.387267156
7266,0.390479465
7417,0.388550437
7569,0.390490843
7721,0.39058074
7873,0.388817893
8025,0.392321503
8177,0.389730468
8329,0.386547675
8480,0.387497488
8632,0.386765438
8784,0.393103606
8936,0.387872887
9088,0.389700817
9240,0.386074253
9391,0.388701404
9543,0.388760093
9695,0.393005004
9847,0.387430094
9999,0.388494618
10151,0.387992052
10302,0.390090139
10454,0.391092963
10606,0.387406443
10758,0.389342271
10910,0.389408418
11062,0.387528124
11213,0.387612136
