index,intercept,slope,intercept_se,slope_se,base,lnkadd_20C,lnkadd_20C_err
hiv_a35g,10.80244146554071,-6460.960216005929,0.8921887315608114,310.61044860256357,A,-11.237334130590725,1.3851610982038396
hiv_es2,6.231133996577455,-4816.64384746665,4.391447782964391,1527.565606311905,A,-10.199511909841274,6.814539351724786
hiv_gs,11.150777586090896,-6562.709142059859,3.9362009533538465,1370.2692663668986,A,-11.236086279028871,6.110867509145392
hiv_wt,17.972101397394454,-8907.115056896466,1.9392559826103422,673.0418949018666,A,-12.412053666212802,3.005303967125753
aggregated,11.428266672195146,-6648.91177688226,2.3398702814131154,813.6741211306507,A,-11.252653596889829,3.630300330792905
hiv_a35g,30.36207640624056,-13052.908489443478,0.8987975113215221,313.3885591818239,C,-14.164304250227048,1.396667361458803
hiv_es2,11.945414570802626,-6594.659030885727,6.456603869316023,2249.4339135551954,C,-10.5504374874806,10.028338919836497
hiv_gs,26.975955136840867,-11857.632909098713,1.747558912181178,608.2397625326045,C,-13.473074060152875,2.712734611672566
hiv_wt,30.09329504605114,-12894.02812260804,1.2765740116012125,442.8153335076323,C,-13.891109260986354,1.977720350933748
aggregated,19.650791363169294,-9284.569263386422,3.357612918918512,1167.855662300978,C,-12.02094414215707,5.2100244228613635
