time,peak
1003,60561.3
1606,59732.3
2209,58929.5
2811,58741.1
3414,58204.7
4017,57412.9
4620,56787.1
5223,56950
5825,56790.2
6428,56907
7031,56948.1
7634,56729.6
8236,55983.9
8839,56731
9442,56696.2
10045,56436.8
10648,56200.7
11250,55834
11853,56362
12456,56162.3
13059,56285.2
13661,55851.4
14264,55562.5
14867,55879.7
15470,56266.9
16073,55644.8
16675,56059.8
17278,55647.4
17881,55559.3
18484,55533
19086,56151.1
19689,55795.5
20292,55769.3
20895,55662.3
21498,55981.2
22100,55532.3
22703,55976.3
23306,56175.2
23909,55436.8
24512,56243
25114,55738.5
25717,55627.2
26320,55900.8
26923,55339
27525,55586.5
28128,55984.5
28731,55718.5
29334,56027.5
29937,56059
30539,55397.4
31142,55478.2
31745,55665.3
32348,55469.9
32950,56060.7
33553,56032
34156,55569.5
34759,56254.3
35362,55815.2
35964,55967.7
36567,55901.9
