time,peak
465,0.521662014
617,0.520368865
769,0.517585456
921,0.521631634
1073,0.5158989
1224,0.512939336
1376,0.511117971
1528,0.512020648
1680,0.511710029
1832,0.51134006
1984,0.507551564
2135,0.507116529
2287,0.504142134
2439,0.505215526
2591,0.505756424
2743,0.505040633
2894,0.504040063
3046,0.503783369
3198,0.505474541
3350,0.501232284
3502,0.500978218
3654,0.503101879
3806,0.501868507
3957,0.500803079
4109,0.50186502
4261,0.501208962
4413,0.503364854
4565,0.501804404
4717,0.501611986
4868,0.501001693
5020,0.502940852
5172,0.501252498
5324,0.500075191
5476,0.502126029
5628,0.50191463
5779,0.500820556
