time,peak
1112,9.69E-01
1716,9.56E-01
2322,9.45E-01
2925,9.35E-01
3530,9.26E-01
4133,9.21E-01
4737,9.13E-01
5341,9.08E-01
5945,9.03E-01
6549,9.01E-01
7153,8.96E-01
7757,8.95E-01
8361,8.90E-01
8966,8.88E-01
9570,8.87E-01
10175,8.84E-01
10778,8.83E-01
11384,8.82E-01
11988,8.81E-01
12592,8.80E-01
13196,0.878896967
13800,0.878747105
14404,0.87841722
15008,0.877625218
15612,0.87667819
16216,0.876956031
16820,0.876164169
17425,0.87637404
18029,0.87594022
18633,0.874617549
19237,0.875240289
19841,0.875458931
20445,0.873646694
21050,0.873632622
21654,0.873774296
22258,0.874460789
22863,0.87424562
23467,0.87392199
24071,0.874850897
24676,0.874707024
25280,0.872965383
25885,0.87436869
26489,0.873959066
27093,0.874420173
27697,0.873558902
28301,0.874497096
28905,0.873790802
29509,0.873567197
30113,0.873997333
30717,0.87474831
31321,0.87248667
31926,0.873956604
32529,0.874510349
33134,0.873576885
33738,0.874861631
34343,0.874721418
34947,0.872173952
35552,0.873269743
36156,0.873255003
36760,0.872503656
