# This is a submission template for batch deposit of 'Microbe; version 1.0' samples to the NCBI BioSample database (https://www.ncbi.nlm.nih.gov/biosample/).
# See SAMN02911891 for an example record of this type of BioSample (https://www.ncbi.nlm.nih.gov/biosample/SAMN02911891).
# Fields with an asterisk (*) are mandatory. Your submission will fail if any mandatory fields are not completed. If information is unavailable for any mandatory field, please enter 'not collected', 'not applicable' or 'missing' as appropriate.
# All other fields are optional. Leave optional fields empty if no information is available.
# You can add any number of custom fields to fully describe your BioSamples, simply include them in the table.
# CAUTION: Be aware that Excel may automatically apply formatting to your data. In particular, take care with dates, incrementing autofills and special characters like / or -. Doublecheck that your text file is accurate before uploading to BioSample.
# TO MAKE A SUBMISSION:
#     1. Complete the template table (typically in Excel, or another spreadsheet application)
#     2. Save the worksheet as a Text (Tab-delimited) file - use 'File, Save as, Save as type: Text (Tab-delimited)'
#     3. Upload the file on the 'Attributes' tab of the BioSample Submission Portal at https://submit.ncbi.nlm.nih.gov/subs/biosample/.
#     4. If you have any questions, please contact us at biosamplehelp@ncbi.nlm.nih.gov.
*sample_name	sample_title	bioproject_accession	*organism	strain	isolate	host	isolation_source	*collection_date	*geo_loc_name	*sample_type	altitude	biomaterial_provider	collected_by	culture_collection	description	env_broad_scale	env_local_scale	env_medium	lat_lon	project_name	sample_id	probe	probe_conc_M	replicate	reaction_group	reaction_id	construct_family	temperature
RRRY-001-EKC-fourUnew-WT-25C-dms-MaP-6			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								162	dms	0.015852692	1	25_2	162	Salm_4U_thermometer	25.0
RRRY-002-EKC-fourUnew-WT-25C-dms-MaP-25			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								164	dms	0.015852692	1	25_2	164	Salm_4U_thermometer	25.0
RRRY-003-EKC-fourUnew-WT-25C-dms-MaP-60			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								166	dms	0.015852692	1	25_2	166	Salm_4U_thermometer	25.0
RRRY-004-EKC-fourUnew-WT-25C-dms-MaP-120			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								168	dms	0.015852692	1	25_2	168	Salm_4U_thermometer	25.0
RRRY-005-EKC-fourUnew-WT-25C-dms-MaP-180			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								170	dms	0.015852692	1	25_2	170	Salm_4U_thermometer	25.0
RRRY-006-EKC-fourUnew-WT-25C-dms-MaP-240			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								172	dms	0.015852692	1	25_2	172	Salm_4U_thermometer	25.0
YYYR-001-EKC-fourUnew-WT-25C-dms-MaP-6			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								163	etoh	0.0	1	25_2	163	Salm_4U_thermometer	25.0
YYYR-002-EKC-fourUnew-WT-25C-dms-MaP-25			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								165	etoh	0.0	1	25_2	165	Salm_4U_thermometer	25.0
YYYR-003-EKC-fourUnew-WT-25C-dms-MaP-60			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								167	etoh	0.0	1	25_2	167	Salm_4U_thermometer	25.0
YYYR-004-EKC-fourUnew-WT-25C-dms-MaP-120			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								169	etoh	0.0	1	25_2	169	Salm_4U_thermometer	25.0
YYYR-005-EKC-fourUnew-WT-25C-dms-MaP-180			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								171	etoh	0.0	1	25_2	171	Salm_4U_thermometer	25.0
YYYR-006-EKC-fourUnew-WT-25C-dms-MaP-240			Salmonella enterica	not applicable	not applicable	not applicable	not applicable	2023-02-18	not applicable	in vitro transcription			EKC								173	etoh	0.0	1	25_2	173	Salm_4U_thermometer	25.0
